id	title	orig_title	author	language	published	avg_rating	ratings_count	review_count	genre_1	genre_2	genre_2	to_read	currently_reading	favorites
36007344	Der Untergang: Hitler und das Ende des Dritten Reiches	Der Untergang	Joachim Fest	2002-10-31		3.92	997	67	History	Nonfiction	War	708	19	
35468262	The Tree of Life: A Study in Magic	The Tree Of Life: An Illustrated Study in Magic	Israel Regardie	1931-11-30		4.13	908	20	Occult	Occult	Magick	932	65	3
29620882	Doctored: The Disillusionment of an American Physician		Sandeep Jauhar	2014-08-19		3.58	898	149	Nonfiction	Health	Medicine	1595	53	2
885113	A Blade of Grass: A Novel	A Blade of Grass: A Novel (P.S.)	Lewis DeSoto	2003-01-01	English	3.64	897	120	Fiction	Cultural	Africa	545	25	9
13641017	Die Traurigkeit der Zombies	Dying to Live: Life Sentence	Kim Paffenroth	2008-10-15	German	3.89	864	52	Horror	Zombies	Horror	786	6	
28044249	On His Watch	On His Watch	Katie Ruggle	2016-01-05	English	3.71	857	185	Romance	Romance	Romantic Suspense	546	89	4
13629626	きみはペット 4	きみはペット 4	Yayoi Ogawa	2000-10-31	Japanese	4.26	812	14	Sequential Art	Manga	Romance	110	4	6
29219005	Simple Things	Simple Things	Kade Boehme	2016-03-14		3.98	772	141	Romance	M M Romance	Contemporary		19	
19005134	銀河鉄道の夜	銀河鉄道の夜 [Ginga tetsudō no yoru]	Kenji Miyazawa	1927-10-31	Japanese	4.05	733	76	Fantasy	Asian Literature	Japanese Literature	40		1
13528409	Highschool of the Dead, Vol. 7		Daisuke Sato	2011-05-06	English	4.3	720	11	Sequential Art	Manga	Horror	210	4	3
25130321	Kitab At-tauhid	كتاب التوحيد الذي هو حق الله على العبيد	محمد بن عبد الوهاب	1996-01-01	English	4.31	679	63	Religion	Islam	Religion	532	42	4		
23343957	Hunted Holiday	Hunted Holiday: A Vampire Romance	Mandy M. Roth	2014-10-27	English	3.98	572	132	Fantasy	Paranormal	Romance	438	31	5
613689	Beyond Chutzpah: On the Misuse of Anti-Semitism and the Abuse of History	Beyond Chutzpah: On the Misuse of Anti-Semitism and the Abuse of History	Norman G. Finkelstein	2005-10-31	English	4.21	556	42	Politics	History	Nonfiction	697	20	4
30988272	Madame de Treymes	Madame de Treymes	Edith Wharton	1907-10-31	English	3.49	466	54	Classics	Fiction	Short Stories	430	6	2
11035644	tending lives	Tending Lives: Nurses on the Medical Front	Echo Heron	1998-10-31	English	4.25	436	27	Nurses	Nursing	Nonfiction	395	10	1				
27119206	Le Crime de Rouletabille: Aventures de Joseph Rouletabille	Le crime de Rouletabille	Gaston Leroux	1921-10-31		3.73	15	0						
29597869	Children Under Black Clouds: An investigators true stories of Child Abuse		Ginny Cordero	2016-03-16	English	3.8	5	1						
6352120	How to Start a Home-Based Event Planning Business, 2nd	How to Start a Home-Based Event Planning Business, 2nd (Home-Based Business Series)	Jill Moran	2004-04-01		3.6	35	4						
22295776	Emmanuelle Vaugier 56 Success Facts - Everything You Need to Know about Emmanuelle Vaugier		Larry Rodgers	2014-05-12		0.0	0	0						
11261600	The Constantine Covenant		Aiden Crisp	2011-06-01		3.68	60	12						
34587892	The Professor's Mystery		Wells Hastings	2010-01-11		3.06	18	3						
7044176	Health Assessment and Physical Examination 3rd edition + Health Assessment and Physical Examination Lab Manual		Mary Ellen Zator Estes	2005-10-31		0.0	0	0						
15083929	Florida Criminal Jury Instructions Handbook: Includes Elements and Defenses		Gus Breckstrom		English	0.0	0	0						
21890767	Wrapped: Crepes, Wraps, and Rolls from Around the World		Gaitri Pagrach-Chandra	2014-05-30		3.13	8	2						
